Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/8933-SW-123rd-Ct-APT-407-Miami-FL-33186/44307161_zpid/,,Condo for sale,Condominium,30,360000,No,,,1005,sqft,358.21,,sqft,2,2,"Bestway Realty Sales, LLC",,8933 SW 123rd Ct APT 407,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14301-N-Kendall-Dr-101B-Miami-FL-33186/44270877_zpid/,,Condo for sale,Condominium,173,255000,No,,,614,sqft,415.31,,sqft,1,1,Fortuna Realty Corp.,,14301 N Kendall Dr #101B,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12317-SW-147th-Ter-12317-Miami-FL-33186/2071320705_zpid/,,Townhouse for sale,Townhouse,198,470000,No,,,1308,sqft,359.33,,sqft,2,2,Real Estate Sales Force,,12317 SW 147th Ter #12317,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11222-SW-133rd-Ct-53-1-Miami-FL-33186/44323880_zpid/,,Townhouse for sale,Townhouse,120,415000,No,,,1010,sqft,410.89,,sqft,2,2,Home Wiz USA,,11222 SW 133rd Ct #53-1,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14293-SW-94th-Circle-Ln-APT-101-27-Miami-FL-33186/44311071_zpid/,,Condo for sale,Condominium,189,429900,No,,,1462,sqft,294.05,,sqft,3,3,"Top Team Realty, LLC.",,14293 SW 94th Circle Ln APT 101-27,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/9911-SW-136th-Ct-Miami-FL-33186/44309193_zpid/,,House for sale,Single Family,163,725000,No,,,1858,sqft,390.2,4500,sqft,3,3,RE/MAX 360 Real Estate,,9911 SW 136th Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13165-SW-142nd-Ter-Miami-FL-33186/54697170_zpid/,,House for sale,Single Family,,675000,Yes,20000,01/22/2024,,,,7482,sqft,3,2,"KSA Real Estate, LLC.",,13165 SW 142nd Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/8820-SW-132nd-Pl-APT-408D-Miami-FL-33186/44309270_zpid/,,Condo for sale,Condominium,101,350000,No,,,939,sqft,372.74,,sqft,2,2,Prime International Associates Inc,,8820 SW 132nd Pl APT 408D,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12242-SW-102nd-Ter-Miami-FL-33186/44305165_zpid/,,House for sale,Single Family,,1485000,Yes,115000,02/03/2024,2465,sqft,602.43,0.35,acres,5,3,HomeCoin.com,,12242 SW 102nd Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11783-SW-137th-Path-Miami-FL-33186/70764987_zpid/,,Townhouse for sale,Townhouse,31,610000,No,,,2102,sqft,290.2,,sqft,4,2,"EXP Realty, LLC",,11783 SW 137th Path,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11129-SW-146th-Ct-Miami-FL-33186/44321155_zpid/,,House for sale,Single Family,187,724900,No,,,2010,sqft,360.65,9000,sqft,4,2,NXT LVL Realty,,11129 SW 146th Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/8800-SW-123rd-Ct-APT-J-106-Miami-FL-33186/44306068_zpid/,,Condo for sale,Condominium,37,299000,No,,,980,sqft,305.1,,sqft,1,2,Onepath Realty LLC,,8800 SW 123rd Ct APT J-106,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/9285-SW-125th-Ave-APT-405-Miami-FL-33186/44306613_zpid/,,Condo for sale,Condominium,24,380000,No,,,1040,sqft,365.38,,sqft,2,2,"Reaction Realty Group, Inc.",,9285 SW 125th Ave APT 405,Miami,33186,FL,USA,5.33
