Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-172-Chandler-AZ-85248/240314118_zpid/,,Apartment for sale,Apartment,11,545000,No,,,1350,sqft,403.7,1350,sqft,2,2,"Statesman Sales and Marketing, LLC",,2511 W Queen Creek Rd UNIT 172,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-361-Chandler-AZ-85248/240313059_zpid/,,Apartment for sale,Apartment,11,520000,No,,,1350,sqft,385.19,1350,sqft,2,2,"Statesman Sales and Marketing, LLC",,2511 W Queen Creek Rd UNIT 361,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/2511-W-Queen-Creek-Rd-UNIT-272-Chandler-AZ-85248/240317359_zpid/,,Apartment for sale,Apartment,11,525000,No,,,1350,sqft,388.89,1350,sqft,2,2,"Statesman Sales and Marketing, LLC",,2511 W Queen Creek Rd UNIT 272,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/1395-W-Ivanhoe-St-Chandler-AZ-85224/8186124_zpid/,,Apartment for sale,Apartment,178,995000,No,,,900,sqft,1105.56,0.39,acres,2,1,Bliss Realty & Investments,,1395 W Ivanhoe St,Chandler,85224,AZ,USA,5.33
https://www.zillow.com/homedetails/436-S-Oregon-St-Chandler-AZ-85225/8206633_zpid/,,Multi-family home for sale,Multi Family,,427000,Yes,20000,02/19/2024,1000,sqft,427,3311,sqft,3,3,My Home Group Real Estate,,436 S Oregon St,Chandler,85225,AZ,USA,5.33
https://www.zillow.com/homedetails/299-S-Oregon-St-Chandler-AZ-85225/2103332719_zpid/,,Multi-family home for sale,Multi Family,,1350000,Yes,50000,02/06/2024,3230,sqft,417.96,,,10,2,ABI Multifamily,,299 S Oregon St,Chandler,85225,AZ,USA,5.33
https://www.zillow.com/homedetails/1014-N-California-St-Chandler-AZ-85225/2062196995_zpid/,,Multi-family home for sale,Multi Family,82,2999999,No,,,9350,sqft,320.86,0.3,acres,6,3,DeLex Realty,,1014 N California St,Chandler,85225,AZ,USA,5.33
https://www.zillow.com/homedetails/573-W-Canyon-Way-Chandler-AZ-85248/95127073_zpid/,,House for sale,Single Family,,4200000,Yes,75000,11/27/2023,6782,sqft,619.29,0.61,acres,4,6,Realty ONE Group,,573 W Canyon Way,Chandler,85248,AZ,USA,5.33
https://www.zillow.com/homedetails/3954-E-Crescent-Pl-Chandler-AZ-85249/119228244_zpid/,,House for sale,Single Family,,874899,No,,,3868,sqft,226.19,7927,sqft,5,3,Integrity All Stars,,3954 E Crescent Pl,Chandler,85249,AZ,USA,5.33
https://www.zillow.com/homedetails/4375-S-Cooper-Rd-Chandler-AZ-85249/8212835_zpid/,,House for sale,Single Family,,1888000,Yes,109000,11/29/2023,3363,sqft,561.4,2.12,acres,4,2,Royalty Real Estate Services,,4375 S Cooper Rd,Chandler,85249,AZ,USA,5.33
https://www.zillow.com/homedetails/634-E-County-Down-Dr-Chandler-AZ-85249/60962462_zpid/,,House for sale,Single Family,,1095000,Yes,15000,02/15/2024,3599,sqft,304.25,0.31,acres,4,4,Keller Williams Integrity First,,634 E County Down Dr,Chandler,85249,AZ,USA,5.33
https://www.zillow.com/homedetails/781-E-Indian-Wells-Pl-Chandler-AZ-85249/60986572_zpid/,,House for sale,Single Family,,675000,No,,,2458,sqft,274.61,8775,sqft,3,2,eXp Realty,,781 E Indian Wells Pl,Chandler,85249,AZ,USA,5.33
https://www.zillow.com/homedetails/3231-S-Big-Horn-Dr-Chandler-AZ-85286/146847669_zpid/,,House for sale,Single Family,,800000,No,,,2579,sqft,310.2,8302,sqft,3,3,Redfin Corporation,,3231 S Big Horn Dr,Chandler,85286,AZ,USA,5.33
https://www.zillow.com/homedetails/2024-W-Rockwell-Dr-Chandler-AZ-85224/8201350_zpid/,,House for sale,Single Family,,535000,Yes,10000,02/17/2024,1778,sqft,300.9,9850,sqft,3,2,HomeSmart,,2024 W Rockwell Dr,Chandler,85224,AZ,USA,5.33
